dates,mean,max,min
1878,9.26,12.76,5.82
1879,7.44,10.52,4.36
1880,9.1,12.54,5.63
1881,8.58,12.12,5.03
1882,9.47,12.99,5.94
1883,9.04,12.7,5.38
1884,9.85,13.61,6.1
1885,8.58,12.29,4.9
1886,8.74,12.17,5.33
1887,8.3,12.22,4.39
1888,8.24,11.58,4.92
1889,9.02,12.48,5.56
1890,8.76,12.39,5.15
1891,8.51,12.15,4.88
1892,8.18,11.86,4.51
1893,10.01,14.11,5.89
1894,9.32,12.7,5.94
1895,8.7,12.47,4.95
1896,9.34,12.91,5.78
1897,9.44,12.9,5.99
1898,10.1,13.62,6.57
1899,9.71,13.63,5.8
1900,9.6,13.14,6.06
1901,9.15,12.89,5.41
1902,8.88,12.23,5.53
1903,9.33,12.53,6.13
1904,9.02,12.51,5.54
1905,9.16,12.6,5.72
1906,9.47,13.21,5.74
1907,8.88,12.41,5.36
1908,9.28,12.79,5.77
1909,8.59,12.2,4.96
1910,9.2,12.6,5.79
1911,10.09,13.88,6.31
1912,9.37,12.82,5.92
1913,9.83,13.31,6.35
1914,9.9,13.7,6.1
1915,8.96,12.72,5.2
1916,9.2,12.72,5.68
1917,8.55,12.12,4.98
1918,9.53,13.2,5.87
1919,8.53,12.2,4.85
1920,9.58,12.99,6.18
1921,10.51,14.47,6.58
1922,8.7,12.2,5.2
1923,9.11,12.49,5.73
1924,9.29,12.55,6.03
1925,9.2,12.72,5.66
1926,9.74,13.13,6.34
1927,9.24,12.47,6.01
1928,9.59,13.24,5.94
1929,9.06,12.98,5.16
1930,9.47,12.8,6.15
1931,9.02,12.38,5.68
1932,9.41,12.85,5.98
1933,9.86,13.71,6.02
1934,10.03,13.8,6.26
1935,9.74,13.33,6.14
1936,9.35,12.82,5.88
1937,9.59,13.09,6.1
1938,10.21,13.89,6.53
1939,9.7,13.22,6.17
1940,9.06,12.96,5.18
1941,9.12,12.65,5.59
1942,9.11,12.75,5.49
1943,10.05,13.85,6.26
1944,9.59,13.21,5.98
1945,10.29,13.91,6.67
1946,9.46,13.02,5.89
1947,9.65,13.33,5.98
1948,10.03,13.74,6.32
1949,10.64,14.63,6.64
1950,9.43,12.89,5.97
1951,9.3,12.8,5.8
1952,9.12,12.72,5.54
1953,9.87,13.56,6.21
1954,9.26,12.66,5.87
1955,9.33,13.19,5.48
1956,8.87,12.49,5.28
1957,10.06,13.73,6.39
1958,9.45,12.86,6.02
1959,10.52,14.63,6.41
1960,9.75,13.35,6.13
1961,9.95,13.74,6.15
1962,8.61,12.18,5.05
1963,8.52,12.07,4.98
1964,9.48,13.16,5.81
1965,8.99,12.55,5.43
1966,9.47,12.87,6.06
1967,9.64,13.03,6.24
1968,9.32,12.64,6
1969,9.32,12.84,5.81
1970,9.6,13.23,5.99
1971,9.72,13.39,6.04
1972,9.22,12.7,5.72
1973,9.57,13.31,5.82
1974,9.64,13.2,6.11
1975,10.04,13.87,6.2
1976,10.1,13.96,6.23
1977,9.51,12.91,6.12
1978,9.47,12.93,6.02
1979,8.85,12.37,5.33
1980,9.42,12.97,5.91
1981,9.28,12.79,5.75
1982,9.86,13.58,6.13
1983,10.1,13.69,6.48
1984,9.75,13.57,5.94
1985,8.9,12.37,5.41
1986,8.81,12.36,5.23
1987,9.08,12.49,5.66
1988,9.8,13.3,6.29
1989,10.54,14.5,6.56
1990,10.65,14.6,6.72
1991,9.58,13.26,5.87
1992,9.87,13.47,6.23
1993,9.52,13.02,5.98
1994,10.29,13.81,6.75
1995,10.55,14.45,6.6
1996,9.22,12.89,5.56
1997,10.56,14.39,6.67
1998,10.35,13.96,6.76
1999,10.65,14.43,6.88
2000,10.32,13.9,6.72
2001,9.97,13.68,6.24
2002,10.63,14.36,6.91
2003,10.54,14.84,6.26
2004,10.5,14.08,6.9
2005,10.48,14.24,6.73
2006,10.87,14.55,7.19
2007,10.5,14.23,6.78
2008,9.97,13.61,6.35
2009,10.14,13.85,6.42
2010,8.86,12.64,5.07
2011,10.72,14.54,6.89
2012,9.72,13.43,6.02
2013,9.61,13.29,5.92
2014,10.95,14.75,7.15
2015,10.31,14.17,6.45
2016,10.34,14.18,6.51
2017,10.58,14.3,6.87
2018,10.68,14.72,6.64
2019,10.34,14.31,6.37